City_Name,FIPS_Code,Population,Bedroom_Size,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08
"Birmingham, AL",107000,212297,_Overall, 789.00, 796.00, 803.00, 811.00, 819.00, 829.00, 838.00, 835.00, 841.00, 830.00, 824.00, 812.00, 811.00, 812.00, 815.00, 826.00, 839.00, 855.00, 862.00, 864.00, 865.00, 863.00, 863.00, 855.00, 859.00, 860.00, 875.00, 876.00, 882.00, 889.00, 895.00, 897.00, 892.00, 891.00, 886.00, 886.00, 883.00, 887.00, 879.00, 871.00, 871.00, 876.00, 895.00, 909.00, 921.00, 923.00, 923.00, 922.00, 927.00, 929.00, 931.00, 932.00, 944.00, 957.00, 980.00, 993.00,1005.00, 999.00, 993.00, 996.00,1006.00,1016.00,1022.00,1035.00,1052.00,1071.00,1079.00,1079.00
"Birmingham, AL",107000,212297,1br, 665.00, 671.00, 677.00, 683.00, 690.00, 698.00, 706.00, 703.00, 708.00, 699.00, 694.00, 684.00, 683.00, 684.00, 686.00, 696.00, 707.00, 720.00, 726.00, 728.00, 729.00, 727.00, 726.00, 720.00, 724.00, 725.00, 737.00, 738.00, 743.00, 749.00, 754.00, 756.00, 752.00, 751.00, 747.00, 747.00, 744.00, 747.00, 740.00, 734.00, 733.00, 738.00, 754.00, 766.00, 776.00, 777.00, 777.00, 777.00, 781.00, 782.00, 784.00, 785.00, 795.00, 806.00, 826.00, 837.00, 846.00, 841.00, 837.00, 839.00, 848.00, 856.00, 861.00, 872.00, 886.00, 902.00, 909.00, 909.00
"Birmingham, AL",107000,212297,2br, 776.00, 783.00, 790.00, 798.00, 806.00, 815.00, 824.00, 821.00, 827.00, 816.00, 810.00, 798.00, 797.00, 798.00, 801.00, 813.00, 825.00, 841.00, 848.00, 850.00, 851.00, 848.00, 848.00, 841.00, 845.00, 846.00, 861.00, 862.00, 867.00, 874.00, 880.00, 882.00, 878.00, 877.00, 872.00, 872.00, 868.00, 872.00, 864.00, 857.00, 856.00, 862.00, 880.00, 894.00, 905.00, 907.00, 907.00, 907.00, 912.00, 913.00, 916.00, 916.00, 928.00, 941.00, 964.00, 977.00, 988.00, 982.00, 977.00, 980.00, 989.00, 999.00,1005.00,1017.00,1034.00,1053.00,1061.00,1061.00
"Hoover, AL",135896,85175,_Overall,1115.00,1120.00,1117.00,1114.00,1116.00,1103.00,1104.00,1108.00,1115.00,1104.00,1101.00,1104.00,1123.00,1125.00,1127.00,1121.00,1153.00,1170.00,1181.00,1159.00,1149.00,1145.00,1145.00,1145.00,1143.00,1138.00,1139.00,1151.00,1155.00,1164.00,1170.00,1196.00,1210.00,1218.00,1215.00,1212.00,1223.00,1234.00,1246.00,1234.00,1213.00,1194.00,1199.00,1224.00,1257.00,1268.00,1262.00,1248.00,1251.00,1261.00,1272.00,1283.00,1308.00,1355.00,1405.00,1465.00,1488.00,1494.00,1475.00,1463.00,1462.00,1461.00,1464.00,1461.00,1484.00,1516.00,1548.00,1562.00
"Hoover, AL",135896,85175,1br, 946.00, 950.00, 948.00, 946.00, 947.00, 936.00, 937.00, 940.00, 946.00, 937.00, 934.00, 937.00, 953.00, 955.00, 957.00, 951.00, 978.00, 993.00,1002.00, 983.00, 975.00, 972.00, 972.00, 972.00, 970.00, 965.00, 966.00, 977.00, 980.00, 988.00, 993.00,1015.00,1027.00,1034.00,1031.00,1028.00,1038.00,1047.00,1058.00,1047.00,1030.00,1013.00,1017.00,1039.00,1066.00,1076.00,1071.00,1059.00,1062.00,1070.00,1080.00,1089.00,1110.00,1150.00,1193.00,1244.00,1263.00,1267.00,1252.00,1241.00,1240.00,1239.00,1242.00,1240.00,1259.00,1286.00,1314.00,1326.00
"Hoover, AL",135896,85175,2br,1109.00,1114.00,1111.00,1108.00,1110.00,1097.00,1098.00,1102.00,1109.00,1098.00,1095.00,1098.00,1117.00,1119.00,1121.00,1115.00,1147.00,1164.00,1175.00,1153.00,1143.00,1139.00,1139.00,1139.00,1137.00,1132.00,1133.00,1145.00,1149.00,1158.00,1164.00,1190.00,1203.00,1211.00,1209.00,1205.00,1217.00,1227.00,1240.00,1227.00,1207.00,1187.00,1192.00,1218.00,1250.00,1261.00,1255.00,1241.00,1245.00,1254.00,1266.00,1276.00,1301.00,1348.00,1398.00,1458.00,1480.00,1486.00,1467.00,1455.00,1454.00,1453.00,1456.00,1454.00,1476.00,1508.00,1540.00,1554.00
"Huntsville, AL",137000,196219,_Overall, 696.00, 696.00, 665.00, 661.00, 669.00, 703.00, 729.00, 761.00, 771.00, 779.00, 782.00, 770.00, 767.00, 762.00, 770.00, 769.00, 770.00, 767.00, 780.00, 787.00, 799.00, 801.00, 811.00, 821.00, 816.00, 813.00, 817.00, 836.00, 847.00, 860.00, 870.00, 873.00, 866.00, 862.00, 862.00, 870.00, 875.00, 885.00, 895.00, 899.00, 905.00, 902.00, 906.00, 907.00, 915.00, 923.00, 930.00, 929.00, 926.00, 925.00, 931.00, 945.00, 966.00, 988.00,1009.00,1016.00,1026.00,1023.00,1021.00,1016.00,1022.00,1036.00,1054.00,1068.00,1083.00,1099.00,1116.00,     NA
"Huntsville, AL",137000,196219,1br, 570.00, 570.00, 544.00, 541.00, 548.00, 575.00, 597.00, 623.00, 631.00, 638.00, 640.00, 630.00, 628.00, 624.00, 631.00, 630.00, 630.00, 628.00, 638.00, 644.00, 654.00, 655.00, 664.00, 672.00, 668.00, 666.00, 669.00, 684.00, 694.00, 704.00, 712.00, 714.00, 709.00, 706.00, 706.00, 712.00, 716.00, 724.00, 732.00, 736.00, 741.00, 739.00, 742.00, 743.00, 749.00, 756.00, 761.00, 760.00, 758.00, 758.00, 762.00, 774.00, 791.00, 809.00, 826.00, 832.00, 840.00, 837.00, 836.00, 832.00, 837.00, 848.00, 862.00, 875.00, 886.00, 900.00, 914.00,     NA
"Huntsville, AL",137000,196219,2br, 707.00, 707.00, 675.00, 671.00, 679.00, 714.00, 740.00, 773.00, 783.00, 791.00, 795.00, 782.00, 779.00, 774.00, 783.00, 781.00, 782.00, 779.00, 792.00, 799.00, 812.00, 813.00, 824.00, 834.00, 828.00, 826.00, 830.00, 849.00, 861.00, 874.00, 884.00, 886.00, 879.00, 876.00, 875.00, 884.00, 889.00, 898.00, 909.00, 913.00, 919.00, 916.00, 920.00, 922.00, 929.00, 938.00, 945.00, 943.00, 940.00, 940.00, 946.00, 960.00, 981.00,1004.00,1025.00,1032.00,1042.00,1039.00,1037.00,1032.00,1038.00,1052.00,1070.00,1085.00,1100.00,1117.00,1134.00,     NA
"Madison, AL",145784,49327,_Overall,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA,     NA, 812.00, 803.00, 803.00, 802.00, 802.00, 816.00, 829.00, 841.00, 888.00, 937.00, 986.00, 982.00, 973.00, 973.00, 974.00, 973.00, 970.00, 969.00, 953.00, 960.00, 976.00,1009.00,1030.00,1044.00,1076.00,1078.00,1082.00,1070.00,1077.00,1081.00,1077.00,1075.00,1081.00,1099.00,1115.00,1137.00,1173.00,1230.00,1286.00,1342.00,1330.00,1301.00,1248.00,1256.00,1302.00,1353.00,1385.00,1403.00,1399.00,1392.00,1369.00,1381.00,1395.00,1391.00,1392.00,1405.00,1437.00,1444.00,1445.00
