propertyType,buildingName,longitude,latitude,address,priceunits.price,bedroomsunits.beds,city
SINGLE_FAMILY,,-122.30703,47.58708,"1774 Valentine Pl S, Seattle, WA 98144",3700.0,3.0, Seattle
,,-122.327415,47.5981,"504 5th Ave S, Seattle, WA",0.0,0.0, Seattle
APARTMENT,,-122.39327,47.53823,"4700 SW Othello St #0, Seattle, WA 98136",1295.0,0.0, Seattle
,,-122.37912,47.66923,"1701 NW 56th St, Seattle, WA",0.0,0.0, Seattle
,,-122.338295,47.60914,"1430 2nd Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.32032,47.60187,"120 Broadway, Seattle, WA",0.0,0.0, Seattle
,,-122.33106,47.621395,"1255 Harrison St, Seattle, WA",0.0,0.0, Seattle
,,-122.32371,47.619972,"200 Belmont Ave E, Seattle, WA",0.0,0.0, Seattle
,,-122.31443,47.664215,"4741 Brooklyn Ave NE, Seattle, WA",0.0,0.0, Seattle
,,-122.32704,47.614956,"1535 Bellevue Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.33983,47.6106,"1600 2nd Ave, Seattle, WA",0.0,0.0, Seattle
SINGLE_FAMILY,,-122.325386,47.655396,"315 NE 40th St, Seattle, WA 98105",1595.0,1.0, Seattle
,,-122.30234,47.612583,"2301 E Union St, Seattle, WA",0.0,0.0, Seattle
,,-122.31117,47.57931,"2709 17th Ave S, Seattle, WA",0.0,0.0, Seattle
,,-122.37821,47.66832,"1545 NW Market St, Seattle, WA",0.0,0.0, Seattle
APARTMENT,,-122.41499,47.57693,"3035 64th Ave SW APT 2, Seattle, WA 98116",1695.0,0.0, Seattle
,,-122.324936,47.636036,"1901 Franklin Ave E, Seattle, WA",0.0,0.0, Seattle
,,-122.34102,47.61446,"2105 5th Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.30415,47.665264,"5000 22nd Ave NE, Seattle, WA",0.0,0.0, Seattle
TOWNHOUSE,,-122.29605,47.60879,"726 Martin Luther King Jr Way #A, Seattle, WA 98122",4250.0,2.0, Seattle
,,-122.38805,47.669212,"2428 NW Market St, Seattle, WA",0.0,0.0, Seattle
APARTMENT,,-122.306015,47.69285,"2015 NE 89th St APT 301, Seattle, WA 98115",2200.0,2.0, Seattle
,,-122.301346,47.59863,"2401 S Jackson St, Seattle, WA",0.0,0.0, Seattle
,,-122.340706,47.61545,"2121 6th Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.35359,47.693714,"8746 Phinney Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.33215,47.61317,"1525 9th Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.3864,47.56077,"4715 42nd Ave SW, Seattle, WA",0.0,0.0, Seattle
,,-122.3864,47.57513,"3220 California Ave SW, Seattle, WA",0.0,0.0, Seattle
,,-122.34926,47.69809,"714 N 95th St, Seattle, WA",0.0,0.0, Seattle
APARTMENT,,-122.31862,47.61956,"1 bed, 130 sqft, $475, 127 11th Ave E #10400328, Seattle, WA 98102",475.0,1.0, 130 sqft
,,-122.34015,47.62054,"227 9th Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.34836,47.612457,"2300 Elliott Ave, Seattle, WA",0.0,0.0, Seattle
APARTMENT,,-122.34114,47.69836,"9515 Interlake Ave N, 9515 Interlake Ave N APT 103, Seattle, WA 98103",1650.0,1.0, 9515 Interlake Ave N APT 103
,,-122.31157,47.669724,"5608 15th Ave NE, Seattle, WA",0.0,0.0, Seattle
,,-122.3201,47.6197,"118 Broadway E, Seattle, WA",0.0,0.0, Seattle
,,-122.37983,47.670403,"1710 NW 57th St, Seattle, WA",0.0,0.0, Seattle
,,-122.32288,47.61391,"709 E Pike St, Seattle, WA",0.0,0.0, Seattle
,,-122.32315,47.605,"423 Terry Ave, Seattle, WA",0.0,0.0, Seattle
,,-122.3425,47.630196,"1215 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.35321,47.619343,"123 2nd Ave N, Seattle, WA",0.0,0.0, Seattle
,Arista,-122.30134,,"4715 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Arista,-122.30134,,"4715 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Arista,-122.30134,,"4715 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Arista,-122.30134,,"4715 25th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Modera South Lake Union,-122.34321,,"435 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,Modera South Lake Union,-122.34321,,"435 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,Modera South Lake Union,-122.34321,,"435 Dexter Ave N, Seattle, WA",0.0,0.0, Seattle
,Elan Uptown Flats,-122.35765,,"300 1st Ave W, Seattle, WA",0.0,0.0, Seattle
,Elan Uptown Flats,-122.35765,,"300 1st Ave W, Seattle, WA",0.0,0.0, Seattle
,,-122.327896,,"6416 1st Ave NE, Seattle, WA 98115",0.0,0.0, Seattle
,,-122.38499,,"3411 22nd Ave W, Seattle, WA 98199",0.0,0.0, Seattle
,,-122.33349,,"590 1st Ave S, Seattle, WA",0.0,0.0, Seattle
