buildingName,zpid,longitude,latitude,address,listingStatus,isBuilding,hasImage,lotId,units.beds,units.price
Gables West Avenue,30.268095--97.75174,-97.75174,,"300 West Ave, Austin, TX",FOR_RENT,TRUE,TRUE,1001413894,0,"$1,743+"
Gables West Avenue,30.268095--97.75174,-97.75174,,"300 West Ave, Austin, TX",FOR_RENT,TRUE,TRUE,1001413894,1,"$2,039+"
Gables West Avenue,30.268095--97.75174,-97.75174,,"300 West Ave, Austin, TX",FOR_RENT,TRUE,TRUE,1001413894,2,"$2,995+"
Avenir,30.271212--97.73154,-97.73154,,"1109 N Interstate Highway 35, Austin, TX",FOR_RENT,TRUE,TRUE,2196353113,1,"$2,164+"
Avenir,30.271212--97.73154,-97.73154,,"1109 N Interstate Highway 35, Austin, TX",FOR_RENT,TRUE,TRUE,2196353113,2,"$3,943+"
Farmhouse Apartments,30.144293--97.79303,-97.79303,,"10801 S Interstate Highway 35 Frontage Rd, Austin, TX",FOR_RENT,TRUE,TRUE,2402567401,1,"$1,427+"
Farmhouse Apartments,30.144293--97.79303,-97.79303,,"10801 S Interstate Highway 35 Frontage Rd, Austin, TX",FOR_RENT,TRUE,TRUE,2402567401,2,"$1,871+"
Lantana Hills,30.253077--97.872826,-97.872826,,"7601 Rialto Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,1001413732,1,"$1,564+"
Lantana Hills,30.253077--97.872826,-97.872826,,"7601 Rialto Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,1001413732,2,"$1,859+"
Terrazzo,30.43188--97.77782,-97.77782,,"8585 Spicewood Springs Rd, Austin, TX",FOR_RENT,TRUE,TRUE,1001414358,1,"$1,302+"
Terrazzo,30.43188--97.77782,-97.77782,,"8585 Spicewood Springs Rd, Austin, TX",FOR_RENT,TRUE,TRUE,1001414358,2,"$2,039+"
Terrazzo,30.43188--97.77782,-97.77782,,"8585 Spicewood Springs Rd, Austin, TX",FOR_RENT,TRUE,TRUE,1001414358,3,"$2,432+"
,80100685,-97.6425,,"11124 Bleich Ln, Austin, TX 78754",FOR_RENT,,TRUE,,,
Logan's Mill,30.188555--97.76459,-97.76459,,"1912 E William Cannon Dr, Austin, TX",FOR_RENT,TRUE,TRUE,1001414018,1,"$1,153+"
Logan's Mill,30.188555--97.76459,-97.76459,,"1912 E William Cannon Dr, Austin, TX",FOR_RENT,TRUE,TRUE,1001414018,2,"$1,426+"
Bell Lakeshore,30.238956--97.72076,-97.72076,,"2515 Elmont Dr, Austin, TX",FOR_RENT,TRUE,TRUE,2315722788,1,"$1,156+"
Bell Lakeshore,30.238956--97.72076,-97.72076,,"2515 Elmont Dr, Austin, TX",FOR_RENT,TRUE,TRUE,2315722788,2,"$2,249+"
Ella Parkside,30.323935--97.713394,-97.713394,,"609 Clayton Ln, Austin, TX",FOR_RENT,TRUE,TRUE,2315722647,0,"$1,895+"
Ella Parkside,30.323935--97.713394,-97.713394,,"609 Clayton Ln, Austin, TX",FOR_RENT,TRUE,TRUE,2315722647,1,"$1,292+"
Ella Parkside,30.323935--97.713394,-97.713394,,"609 Clayton Ln, Austin, TX",FOR_RENT,TRUE,TRUE,2315722647,2,"$2,260+"
Hudson Miramont,30.258902--97.892075,-97.892075,,"8818 Travis Hills Dr, Austin, TX",FOR_RENT,TRUE,TRUE,1001413932,1,"$1,695+"
Hudson Miramont,30.258902--97.892075,-97.892075,,"8818 Travis Hills Dr, Austin, TX",FOR_RENT,TRUE,TRUE,1001413932,2,"$1,925+"
Hudson Miramont,30.258902--97.892075,-97.892075,,"8818 Travis Hills Dr, Austin, TX",FOR_RENT,TRUE,TRUE,1001413932,3,"$2,425+"
Camden Lamar Heights,30.322506--97.73117,-97.73117,,"5400 N Lamar Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,2184596834,1,"$1,799+"
Camden Lamar Heights,30.322506--97.73117,-97.73117,,"5400 N Lamar Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,2184596834,2,"$2,309+"
The Michael At Presidio,30.477106--97.785,-97.785,,"13535 Lyndhurst St, Austin, TX",FOR_RENT,TRUE,TRUE,2361215366,0,"$1,466+"
The Michael At Presidio,30.477106--97.785,-97.785,,"13535 Lyndhurst St, Austin, TX",FOR_RENT,TRUE,TRUE,2361215366,1,"$1,453+"
The Michael At Presidio,30.477106--97.785,-97.785,,"13535 Lyndhurst St, Austin, TX",FOR_RENT,TRUE,TRUE,2361215366,2,"$1,961+"
The Michael At Presidio,30.477106--97.785,-97.785,,"13535 Lyndhurst St, Austin, TX",FOR_RENT,TRUE,TRUE,2361215366,3,"$3,097+"
,29407584,-97.652794,,"7310 Inspiration Dr, Austin, TX 78724",FOR_RENT,,TRUE,,,
Lakeline Crossing,30.47306--97.812,-97.812,,"13010 Ridgeline Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,2288448754,1,"$1,363+"
Lakeline Crossing,30.47306--97.812,-97.812,,"13010 Ridgeline Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,2288448754,2,"$1,863+"
Lakeline Crossing,30.47306--97.812,-97.812,,"13010 Ridgeline Blvd, Austin, TX",FOR_RENT,TRUE,TRUE,2288448754,3,"$2,864+"
Arise Riverside,30.221449--97.69144,-97.69144,,"1900 Airport Commerce Dr, Austin, TX",FOR_RENT,TRUE,TRUE,2359140797,1,"$1,575+"
Arise Riverside,30.221449--97.69144,-97.69144,,"1900 Airport Commerce Dr, Austin, TX",FOR_RENT,TRUE,TRUE,2359140797,2,"$2,680+"
Travis at the Lake,30.384914--97.94399,-97.94399,,"2208 N Fm 620 Rd, Austin, TX",FOR_RENT,TRUE,TRUE,2502590807,1,"$1,582+"
Travis at the Lake,30.384914--97.94399,-97.94399,,"2208 N Fm 620 Rd, Austin, TX",FOR_RENT,TRUE,TRUE,2502590807,2,"$2,203+"
Travis at the Lake,30.384914--97.94399,-97.94399,,"2208 N Fm 620 Rd, Austin, TX",FOR_RENT,TRUE,TRUE,2502590807,3,"$2,780+"
Bridgehead,30.356747--97.7958,-97.7958,,"6001 Shepherd Mountain Cv, Austin, TX",FOR_RENT,TRUE,TRUE,1001413801,1,"$1,547+"
Bridgehead,30.356747--97.7958,-97.7958,,"6001 Shepherd Mountain Cv, Austin, TX",FOR_RENT,TRUE,TRUE,1001413801,2,"$1,672+"
